isco08_code,ISCO-08 Title EN,soc_code,2010 SOC Title,Occupation Title,Language Modeling AIOE,isco_major_group
1323,Construction managers,11-9021,Construction Managers,Construction Managers,0.6587301587301587,1
1324,"Supply, distribution and related managers",11-3071,"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",0.7298941798941799,1
1330,Information and communications technology service managers,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,0.7404761904761904,1
1341,Child care services managers,11-9031,"Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program",0.7462962962962963,1
1342,Health services managers,11-9111,Medical and Health Services Managers,Medical and Health Services Managers,0.8383597883597883,1
1343,Aged care services managers,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1343,Aged care services managers,11-9111,Medical and Health Services Managers,Medical and Health Services Managers,0.8383597883597883,1
1344,Social welfare managers,11-9151,Social and Community Service Managers,Social and Community Service Managers,0.8145502645502646,1
1345,Education managers,11-9032,"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",0.8076719576719577,1
1345,Education managers,11-9033,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",0.8992063492063491,1
1345,Education managers,11-9039,"Education Administrators, All Other","Education Administrators, All Other",0.6566137566137566,1
1346,Financial and insurance services branch managers,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1346,Financial and insurance services branch managers,11-3031,Financial Managers,Financial Managers,0.8330687830687831,1
1349,Professional services managers not elsewhere classified,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
1411,Hotel managers,11-9081,Lodging Managers,Lodging Managers,0.6132275132275132,1
1412,Restaurant managers,11-9051,Food Service Managers,Food Service Managers,0.5066137566137566,1
1420,Retail and wholesale trade managers,11-1021,General and Operations Managers,General and Operations Managers,0.6698412698412698,1
1431,"Sports, recreation and cultural centre managers",11-9071,Gaming Managers,Gaming Managers,0.6806878306878307,1
1431,"Sports, recreation and cultural centre managers",11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
1439,Services managers not elsewhere classified,11-9199,"Managers, All Other","Managers, All Other",0.7312169312169312,1
2111,Physicists and astronomers,19-2011,Astronomers,Astronomers,0.7642857142857143,2
2111,Physicists and astronomers,19-2012,Physicists,Physicists,0.7806878306878307,2
2112,Meteorologists,19-2021,Atmospheric and Space Scientists,Atmospheric and Space Scientists,0.8235449735449735,2
2113,Chemists,19-2031,Chemists,Chemists,0.5769841269841269,2
2113,Chemists,19-2032,Materials Scientists,Materials Scientists,0.6984126984126984,2
2114,Geologists and geophysicists,19-2042,"Geoscientists, Except Hydrologists and Geographers","Geoscientists, Except Hydrologists and Geographers",0.6404761904761905,2
2114,Geologists and geophysicists,19-2043,Hydrologist,Hydrologists,0.6373015873015874,2
2120,"Mathematicians, actuaries and statisticians",15-2011,Actuaries,Actuaries,0.807936507936508,2
2120,"Mathematicians, actuaries and statisticians",15-2021,Mathematicians,Mathematicians,0.7989417989417988,2
2120,"Mathematicians, actuaries and statisticians",15-2031,Operations Research Analysts,Operations Research Analysts,0.816931216931217,2
2120,"Mathematicians, actuaries and statisticians",15-2041,Statisticians,Statisticians,0.8193121693121693,2
2120,"Mathematicians, actuaries and statisticians",19-3022,Survey Researchers,Survey Researchers,0.8288359788359788,2
2131,"Biologists, botanists, zoologists and related professionals",19-1011,Animal Scientists,Animal Scientists,0.7476190476190476,2
2131,"Biologists, botanists, zoologists and related professionals",19-1012,Food Scientists and Technologists,Food Scientists and Technologists,0.642063492063492,2
2131,"Biologists, botanists, zoologists and related professionals",19-1013,Soil and Plant Scientists,Soil and Plant Scientists,0.6515873015873016,2
2131,"Biologists, botanists, zoologists and related professionals",19-1021,Biochemists and Biophysicists,Biochemists and Biophysicists,0.7005291005291006,2
2131,"Biologists, botanists, zoologists and related professionals",19-1022,Microbiologists,Microbiologists,0.6158730158730159,2
2131,"Biologists, botanists, zoologists and related professionals",19-1023,Zoologists and Wildlife Biologists,Zoologists and Wildlife Biologists,0.5769841269841269,2
2131,"Biologists, botanists, zoologists and related professionals",19-1029,"Biological Scientists, All Other","Biological Scientists, All Other",0.7240740740740741,2
2131,"Biologists, botanists, zoologists and related professionals",19-1041,Epidemiologists,Epidemiologists,0.8301587301587301,2
2131,"Biologists, botanists, zoologists and related professionals",19-1042,"Medical Scientists, Except Epidemiologists","Medical Scientists, Except Epidemiologists",0.7992063492063491,2
2132,"Farming, forestry and fisheries advisers",19-1013,Soil and Plant Scientists,Soil and Plant Scientists,0.6515873015873016,2
2132,"Farming, forestry and fisheries advisers",19-1032,Foresters,Foresters,0.43862433862433864,2
2132,"Farming, forestry and fisheries advisers",25-9021,Farm and Home Management Advisors,Farm and Home Management Advisors,0.6978835978835978,2
2141,Industrial and production engineers,17-2112,Industrial Engineers,Industrial Engineers,0.7298941798941799,2
2143,Environmental engineers,17-2081,Environmental Engineers,Environmental Engineers,0.7666666666666666,2
2144,Mechanical engineers,17-2021,Agricultural Engineers,Agricultural Engineers,0.673015873015873,2
2145,Chemical engineers,17-2041,Chemical Engineers,Chemical Engineers,0.7301587301587301,2
2146,"Mining engineers, metallurgists and related professionals",17-2131,Materials Engineers,Materials Engineers,0.6968253968253969,2
2146,"Mining engineers, metallurgists and related professionals",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","Mining and Geological Engineers, Including Mining Safety Engineers",0.7632275132275131,2
2146,"Mining engineers, metallurgists and related professionals",17-2171,Petroleum Engineers,Petroleum Engineers,0.7637566137566137,2
2146,"Mining engineers, metallurgists and related professionals",19-2032,Materials Scientists,Materials Scientists,0.6984126984126984,2
2149,Engineering professionals not elsewhere classified,17-2031,Biomedical Engineers,Biomedical Engineers,0.6846560846560846,2
2149,Engineering professionals not elsewhere classified,17-2131,Materials Engineers,Materials Engineers,0.6968253968253969,2
2149,Engineering professionals not elsewhere classified,17-2161,Nuclear Engineers,Nuclear Engineers,0.7743386243386243,2
2149,Engineering professionals not elsewhere classified,17-2199,"Engineers, All Other","Engineers, All Other",0.6441798941798942,2
2151,Electrical engineers,17-2071,Electrical Engineers,Electrical Engineers,0.7288359788359787,2
2153,Telecommunications engineers,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",0.6113756613756614,2
2161,Building architects,17-1011,"Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",0.6518518518518518,2
2162,Landscape architects,17-1012,Landscape Architects,Landscape Architects,0.7116402116402116,2
2163,Product and garment designers,27-1021,Commercial and Industrial Designers,Commercial and Industrial Designers,0.6386243386243386,2
2164,Town and traffic planners,19-3051,Urban and Regional Planners,Urban and Regional Planners,0.7748677248677249,2
2165,Cartographers and surveyors,17-1021,Cartographers and Photogrammetrists,Cartographers and Photogrammetrists,0.6153439153439153,2
2165,Cartographers and surveyors,17-1022,Surveyors,Surveyors,0.45846560846560847,2
2166,Graphic and multimedia designers,27-1024,Graphic Designers,Graphic Designers,0.62989417989418,2
2211,Generalist medical practitioners ,29-1062,Family and General Practitioners,Family and General Practitioners,0.7854497354497355,2
2211,Generalist medical practitioners ,29-1065,"Pediatricians, General","Pediatricians, General",0.7936507936507936,2
2211,Generalist medical practitioners ,29-1069,"Physicians and Surgeons, All Other","Physicians and Surgeons, All Other",0.6542328042328042,2
2212,Specialist medical practitioners ,29-1061,Anesthesiologists,Anesthesiologists,0.5465608465608466,2
2212,Specialist medical practitioners ,29-1069,"Physicians and Surgeons, All Other","Physicians and Surgeons, All Other",0.6542328042328042,2
2221,Nursing professionals,29-1141,Registered Nurses,Registered Nurses,0.5624338624338625,2
2221,Nursing professionals,29-1151,Nurse Anesthetists,Nurse Anesthetists,0.5259259259259259,2
2240,Paramedical practitioners,29-1071,Physician Assistants,Physician Assistants,0.5010582010582011,2
2250,Veterinarians,29-1131,Veterinarians,Veterinarians,0.4682539682539682,2
2261,Dentists,29-1021,"Dentists, General","Dentists, General",0.39841269841269844,2
2261,Dentists,29-1022,Oral and Maxillofacial Surgeons,Oral and Maxillofacial Surgeons,0.40317460317460313,2
2261,Dentists,29-1023,Orthodontists,Orthodontists,0.496031746031746,2
2261,Dentists,29-1024,Prosthodontists,Prosthodontists,0.4338624338624339,2
2262,Pharmacists,29-1051,Pharmacists,Pharmacists,0.6415343915343914,2
2263,Environmental and occupational health and hygiene professionals,21-1091,Health Educators ,Health Educators,0.7465608465608465,2
2264,Physiotherapists ,29-1123,Physical Therapists,Physical Therapists,0.4748677248677249,2
2264,Physiotherapists ,29-1128,Exercise Physiologists,Exercise Physiologists,0.5716931216931217,2
2265,Dieticians and nutritionists,29-1031,Dietitians and Nutritionists,Dietitians and Nutritionists,0.8513227513227513,2
2266,Audiologists and speech therapists,29-1127,Speech-Language Pathologists,Speech-Language Pathologists,0.8457671957671957,2
2266,Audiologists and speech therapists,29-1181,Audiologists,Audiologists,0.6746031746031745,2
2267,Optometrists and ophthalmic opticians,29-1041,Optometrists,Optometrists,0.5433862433862434,2
2269,Health professionals not elsewhere classified,29-1122,Occupational Therapists,Occupational Therapists,0.5608465608465608,2
2310,University and higher education teachers,25-1011,"Business Teachers, Postsecondary","Business Teachers, Postsecondary",0.9185185185185186,2
2310,University and higher education teachers,25-1021,"Computer Science Teachers, Postsecondary","Computer Science Teachers, Postsecondary",0.8582010582010581,2
2310,University and higher education teachers,25-1022,"Mathematical Science Teachers, Postsecondary","Mathematical Science Teachers, Postsecondary",0.8626984126984126,2
2310,University and higher education teachers,25-1031,"Architecture Teachers, Postsecondary","Architecture Teachers, Postsecondary",0.8201058201058201,2
2310,University and higher education teachers,25-1032,"Engineering Teachers, Postsecondary","Engineering Teachers, Postsecondary",0.844179894179894,2
2310,University and higher education teachers,25-1041,"Agricultural Sciences Teachers, Postsecondary","Agricultural Sciences Teachers, Postsecondary",0.7957671957671957,2
2310,University and higher education teachers,25-1042,"Biological Science Teachers, Postsecondary","Biological Science Teachers, Postsecondary",0.8854497354497355,2
2310,University and higher education teachers,25-1043,"Forestry and Conservation Science Teachers, Postsecondary","Forestry and Conservation Science Teachers, Postsecondary",0.9039682539682539,2
2310,University and higher education teachers,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.8931216931216932,2
2310,University and higher education teachers,25-1052,"Chemistry Teachers, Postsecondary","Chemistry Teachers, Postsecondary",0.8740740740740741,2
2310,University and higher education teachers,25-1053,"Environmental Science Teachers, Postsecondary","Environmental Science Teachers, Postsecondary",0.9145502645502644,2
2310,University and higher education teachers,25-1054,"Physics Teachers, Postsecondary","Physics Teachers, Postsecondary",0.8185185185185185,2
2310,University and higher education teachers,25-1061,"Anthropology and Archeology Teachers, Postsecondary","Anthropology and Archeology Teachers, Postsecondary",0.8962962962962963,2
2310,University and higher education teachers,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.932010582010582,2
2310,University and higher education teachers,25-1063,"Economics Teachers, Postsecondary","Economics Teachers, Postsecondary",0.8772486772486772,2
2310,University and higher education teachers,25-1064,"Geography Teachers, Postsecondary","Geography Teachers, Postsecondary",0.9214285714285714,2
2310,University and higher education teachers,25-1065,"Political Science Teachers, Postsecondary","Political Science Teachers, Postsecondary",0.9587301587301587,2
2310,University and higher education teachers,25-1066,"Psychology Teachers, Postsecondary","Psychology Teachers, Postsecondary",0.9444444444444444,2
2310,University and higher education teachers,25-1067,"Sociology Teachers, Postsecondary","Sociology Teachers, Postsecondary",0.9587301587301587,2
2310,University and higher education teachers,25-1071,"Health Specialties Teachers, Postsecondary","Health Specialties Teachers, Postsecondary",0.8148148148148148,2
2310,University and higher education teachers,25-1072,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors and Teachers, Postsecondary",0.6873015873015872,2
2310,University and higher education teachers,25-1081,"Education Teachers, Postsecondary","Education Teachers, Postsecondary",0.9201058201058201,2
2310,University and higher education teachers,25-1082,"Library Science Teachers, Postsecondary","Library Science Teachers, Postsecondary",0.9206349206349206,2
2310,University and higher education teachers,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice and Law Enforcement Teachers, Postsecondary",0.9544973544973545,2
2310,University and higher education teachers,25-1112,"Law Teachers, Postsecondary","Law Teachers, Postsecondary",0.9671957671957672,2
2310,University and higher education teachers,25-1113,"Social Work Teachers, Postsecondary","Social Work Teachers, Postsecondary",0.9505291005291004,2
2310,University and higher education teachers,25-1121,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, and Music Teachers, Postsecondary",0.7568783068783068,2
2310,University and higher education teachers,25-1122,"Communications Teachers, Postsecondary","Communications Teachers, Postsecondary",0.9407407407407407,2
2310,University and higher education teachers,25-1123,"English Language and Literature Teachers, Postsecondary","English Language and Literature Teachers, Postsecondary",0.9817460317460318,2
2310,University and higher education teachers,25-1124,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language and Literature Teachers, Postsecondary",0.9703703703703703,2
2310,University and higher education teachers,25-1125,"History Teachers, Postsecondary","History Teachers, Postsecondary",0.97010582010582,2
2310,University and higher education teachers,25-1126,"Philosophy and Religion Teachers, Postsecondary","Philosophy and Religion Teachers, Postsecondary",0.9666666666666666,2
2310,University and higher education teachers,25-1191,Graduate Teaching Assistants,Graduate Teaching Assistants,0.8544973544973544,2
2310,University and higher education teachers,25-1192,"Home Economics Teachers, Postsecondary","Home Economics Teachers, Postsecondary",0.8788359788359787,2
2310,University and higher education teachers,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation and Fitness Studies Teachers, Postsecondary",0.8685185185185186,2
2320,Vocational education teachers,25-1194,"Vocational Education Teachers, Postsecondary","Vocational Education Teachers, Postsecondary",0.5936507936507937,2
2320,Vocational education teachers,25-2032,"Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School",0.6021164021164022,2
2330,Secondary education teachers,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special and Career/Technical Education",0.8208994708994709,2
2341,Primary school teachers,25-2021,"Elementary School Teachers, Except Special Education","Elementary School Teachers, Except Special Education",0.7595238095238095,2
2341,Primary school teachers,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special and Career/Technical Education",0.8301587301587301,2
2342,Early childhood educators,25-2011,"Preschool Teachers, Except Special Education","Preschool Teachers, Except Special Education",0.5756613756613757,2
2342,Early childhood educators,25-2012,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",0.6632275132275132,2
2351,Education methods specialists,25-9031,Instructional Coordinators,Instructional Coordinators,0.8407407407407407,2
2352,Special needs teachers,25-2051,"Special Education Teachers, Preschool","Special Education Teachers, Preschool",0.6637566137566138,2
2352,Special needs teachers,25-2052,"Special Education Teachers, Kindergarten and Elementary School","Special Education Teachers, Kindergarten and Elementary School",0.7383597883597884,2
2352,Special needs teachers,25-2053,"Special Education Teachers, Middle School","Special Education Teachers, Middle School",0.8433862433862434,2
2352,Special needs teachers,25-2054,"Special Education Teachers, Secondary School","Special Education Teachers, Secondary School",0.755026455026455,2
2353,Other language teachers,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors ,Adult Basic and Secondary Education and Literacy Teachers and Instructors,0.8714285714285713,2
2353,Other language teachers,25-3021,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,0.7087301587301588,2
2354,Other music teachers,25-3021,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,0.7087301587301588,2
2355,Other arts teachers,25-3021,Self-Enrichment Education Teachers,Self-Enrichment Education Teachers,0.7087301587301588,2
2359,Teaching professionals not elsewhere classified,25-3099,"Teachers and Instructors, All Other","Teachers and Instructors, All Other",0.8835978835978835,2
2411,Accountants,13-2011,Accountants and Auditors,Accountants and Auditors,0.8116402116402116,2
2411,Accountants,13-2031,Budget Analysts,Budget Analysts,0.8343915343915344,2
2411,Accountants,13-2082,Tax Preparers,Tax Preparers,0.7931216931216931,2
2412,Financial and investment advisers,13-2051,Financial Analysts,Financial Analysts,0.8272486772486771,2
2412,Financial and investment advisers,13-2052,Personal Financial Advisors,Personal Financial Advisors,0.8597883597883598,2
2413,Financial analysts,13-2041,Credit Analysts,Credit Analysts,0.7793650793650794,2
2413,Financial analysts,13-2061,Financial Examiners,Financial Examiners,0.8497354497354497,2
2421,Management and organization analysts,13-1081,Logisticians,Logisticians,0.7764550264550264,2
2421,Management and organization analysts,13-1111,Management Analysts,Management Analysts,0.9,2
2422,Policy administration professionals,13-1199,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",0.7351851851851852,2
2423,Personnel and careers professionals,13-1071,Human Resources Specialists,Human Resources Specialists,0.9023809523809523,2
2423,Personnel and careers professionals,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",0.8507936507936508,2
2431,Advertising and marketing professionals,13-1161,Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists,0.8492063492063492,2
2433,Technical and medical sales professionals (excluding ICT),41-1012,First-Line Supervisors of Non-Retail Sales Workers,First-Line Supervisors of Non-Retail Sales Workers,0.8235449735449735,2
2433,Technical and medical sales professionals (excluding ICT),41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.7425925925925926,2
2434,Information and communications technology sales professionals,41-1012,First-Line Supervisors of Non-Retail Sales Workers,First-Line Supervisors of Non-Retail Sales Workers,0.8235449735449735,2
2434,Information and communications technology sales professionals,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.7425925925925926,2
2434,Information and communications technology sales professionals,41-9031,Sales Engineers,Sales Engineers,0.7619047619047619,2
2511,Systems analysts,15-1111,Computer and Information Research Scientists,Computer and Information Research Scientists,0.7465608465608465,2
2511,Systems analysts,15-1121,Computer Systems Analysts,Computer Systems Analysts,0.7671957671957672,2
2512,Software developers,15-1132,"Software Developers, Applications","Software Developers, Applications",0.7238095238095238,2
2512,Software developers,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",0.7989417989417988,2
2514,Applications programmers,15-1131,Computer Programmers,Computer Programmers,0.7616402116402116,2
2519,Software and applications developers and analysts not elsewhere classified,15-1199,"Computer Occupations, All Other","Computer Occupations, All Other",0.7666666666666666,2
2521,Database designers and administrators,15-1141,Database Administrators,Database Administrators,0.753968253968254,2
2522,Systems administrators,15-1142,Network and Computer Systems Administrators,Network and Computer Systems Administrators,0.6161375661375661,2
2529,Database and network professionals not elsewhere classified,15-1122,Information Security Analysts,Information Security Analysts,0.7669312169312169,2
2529,Database and network professionals not elsewhere classified,15-1199,"Computer Occupations, All Other","Computer Occupations, All Other",0.7666666666666666,2
2611,Lawyers,23-1011,Lawyers,Lawyers,0.875132275132275,2
2612,Judges,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officers",0.8997354497354496,2
2612,Judges,23-1023,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",0.9259259259259258,2
2619,Legal professionals not elsewhere classified,23-1022,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliators",0.9261904761904762,2
2621,Archivists and curators,25-4011,Archivists,Archivists,0.6738095238095239,2
2621,Archivists and curators,25-4012,Curators,Curators,0.6640211640211641,2
2622,Librarians and related information professionals,25-4021,Librarians,Librarians,0.7492063492063491,2
2622,Librarians and related information professionals,25-9011,Audio-Visual and Multimedia Collections Specialists,Audio-Visual and Multimedia Collections Specialists,0.5624338624338625,2
2631,Economists,19-3011,Economists,Economists,0.8423280423280424,2
2632,"Sociologists, anthropologists and related professionals",19-3041,Sociologists,Sociologists,0.9526455026455026,2
2632,"Sociologists, anthropologists and related professionals",19-3091,Anthropologists and Archeologists,Anthropologists and Archeologists,0.6859788359788359,2
2632,"Sociologists, anthropologists and related professionals",19-3092,Geographers,Geographers,0.8510582010582011,2
2633,"Philosophers, historians and political scientists",19-3093,Historians,Historians,0.8849206349206349,2
2633,"Philosophers, historians and political scientists",19-3094,Political Scientists,Political Scientists,0.9367724867724868,2
2633,"Philosophers, historians and political scientists",19-3099,"Social Scientists and Related Workers, All Other","Social Scientists and Related Workers, All Other",0.7775132275132275,2
2634,Psychologists,19-3031,"Clinical, Counseling, and School Psychologists","Clinical, Counseling, and School Psychologists",0.9206349206349206,2
2634,Psychologists,19-3032,Industrial-Organizational Psychologists,Industrial-Organizational Psychologists,0.867989417989418,2
2634,Psychologists,19-3039,"Psychologists, All Other","Psychologists, All Other",0.8423280423280424,2
2635,Social work and counselling professionals,21-1021,"Child, Family, and School Social Workers","Child, Family, and School Social Workers",0.7436507936507936,2
2635,Social work and counselling professionals,21-1022,Healthcare Social Workers,Healthcare Social Workers,0.77989417989418,2
2635,Social work and counselling professionals,21-1023,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Workers,0.821957671957672,2
2635,Social work and counselling professionals,21-1092,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialists,0.7277777777777779,2
2636,Religious professionals,21-2011,Clergy,Clergy,0.8793650793650792,2
2641,Authors and related writers,27-3042,Technical Writers,Technical Writers,0.8388888888888889,2
2641,Authors and related writers,27-3043,Writers and Authors,Writers and Authors,0.7999999999999999,2
2642,Journalists,27-3022,Reporters and Correspondents,Reporters and Correspondents,0.8796296296296297,2
2643,"Translators, interpreters and other linguists",27-3091,Interpreters and Translators,Interpreters and Translators,0.8481481481481482,2
2651,Visual artists,27-1012,Craft Artists,Craft Artists,0.24788359788359787,2
2651,Visual artists,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators","Fine Artists, Including Painters, Sculptors, and Illustrators",0.3058201058201058,2
2652,"Musicians, singers and composers",27-2041,Music Directors and Composers,Music Directors and Composers,0.7634920634920634,2
2652,"Musicians, singers and composers",27-2042,Musicians and Singers,Musicians and Singers,0.5671957671957671,2
2653,Dancers and choreographers,27-2031,Dancers,Dancers,0.01613756613756618,2
2653,Dancers and choreographers,27-2032,Choreographers,Choreographers,0.2560846560846561,2
2654,"Film, stage and related directors and producers",27-1011,Art Directors,Art Directors,0.6828042328042327,2
2655,Actors,27-2011,Actors,Actors,0.6433862433862433,2
2656,"Announcers on radio, television and other media",27-3011,Radio and Television Announcers,Radio and Television Announcers,0.7878306878306879,2
2656,"Announcers on radio, television and other media",27-3012,Public Address System and Other Announcers,Public Address System and Other Announcers,0.694973544973545,2
2656,"Announcers on radio, television and other media",27-3021,Broadcast News Analysts,Broadcast News Analysts,0.8158730158730159,2
3111,Chemical and physical science technicians,19-4031,Chemical Technicians,Chemical Technicians,0.4656084656084656,3
3111,Chemical and physical science technicians,19-4041,Geological and Petroleum Technicians,Geological and Petroleum Technicians,0.48333333333333334,3
3111,Chemical and physical science technicians,19-4099,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, and Social Science Technicians, All Other",0.5370370370370371,3
3112,Civil engineering technicians,17-3022,Civil Engineering Technicians,Civil Engineering Technicians,0.6367724867724868,3
3112,Civil engineering technicians,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,First-Line Supervisors of Fire Fighting and Prevention Workers,0.3222222222222222,3
3112,Civil engineering technicians,33-2021,Fire Inspectors and Investigators,Fire Inspectors and Investigators,0.45026455026455026,3
3112,Civil engineering technicians,47-4011,Construction and Building Inspectors,Construction and Building Inspectors,0.5084656084656085,3
3113,Electrical engineering technicians,17-3023,Electrical and Electronics Engineering Technicians,Electrical and Electronic Engineering Technicians,0.5111111111111111,3
3113,Electrical engineering technicians,17-3024,Electro-Mechanical Technicians,Electro-Mechanical Technicians,0.3402116402116402,3
3114,Electronics engineering technicians,17-3023,Electrical and Electronics Engineering Technicians,Electrical and Electronic Engineering Technicians,0.5111111111111111,3
3115,Mechanical engineering technicians,17-3021,Aerospace Engineering and Operations Technicians,Aerospace Engineering and Operations Technicians,0.5436507936507936,3
3115,Mechanical engineering technicians,17-3024,Electro-Mechanical Technicians,Electro-Mechanical Technicians,0.3402116402116402,3
3115,Mechanical engineering technicians,17-3027,Mechanical Engineering Technicians,Mechanical Engineering Technicians,0.41798941798941797,3
3115,Mechanical engineering technicians,17-3029,"Engineering Technicians, Except Drafters, All Other","Engineering Technicians, Except Drafters, All Other",0.4695767195767196,3
