SOC Code;Occupation Title;Language Modeling AIOE
25-1067;Sociology Teachers, Postsecondary;1,770
25-1071;Health Specialties Teachers, Postsecondary;1,226
25-1072;Nursing Instructors and Teachers, Postsecondary;0,744
25-1081;Education Teachers, Postsecondary;1,624
25-1082;Library Science Teachers, Postsecondary;1,626
25-1111;Criminal Justice and Law Enforcement Teachers, Postsecondary;1,754
25-1112;Law Teachers, Postsecondary;1,802
25-1113;Social Work Teachers, Postsecondary;1,739
25-1121;Art, Drama, and Music Teachers, Postsecondary;1,007
25-1122;Communications Teachers, Postsecondary;1,702
25-1123;English Language and Literature Teachers, Postsecondary;1,857
25-1124;Foreign Language and Literature Teachers, Postsecondary;1,814
25-1125;History Teachers, Postsecondary;1,813
25-1126;Philosophy and Religion Teachers, Postsecondary;1,800
25-1191;Graduate Teaching Assistants;1,376
25-1192;Home Economics Teachers, Postsecondary;1,468
25-1193;Recreation and Fitness Studies Teachers, Postsecondary;1,429
25-1194;Vocational Education Teachers, Postsecondary;0,390
25-2011;Preschool Teachers, Except Special Education;0,322
25-2012;Kindergarten Teachers, Except Special Education;0,653
25-2021;Elementary School Teachers, Except Special Education;1,017
25-2022;Middle School Teachers, Except Special and Career/Technical Education;1,284
25-2023;Career/Technical Education Teachers, Middle School;0,647
25-2031;Secondary School Teachers, Except Special and Career/Technical Education;1,249
25-2032;Career/Technical Education Teachers, Secondary School;0,422
25-2051;Special Education Teachers, Preschool;0,655
25-2052;Special Education Teachers, Kindergarten and Elementary School;0,937
25-2053;Special Education Teachers, Middle School;1,334
25-2054;Special Education Teachers, Secondary School;1,000
25-2059;Special Education Teachers, All Other;-0,236
25-3011;Adult Basic and Secondary Education and Literacy Teachers and Instructors;1,440
25-3021;Self-Enrichment Education Teachers;0,825
25-3099;Teachers and Instructors, All Other;1,486
25-4011;Archivists;0,693
25-4012;Curators;0,656
25-4013;Museum Technicians and Conservators;-0,111
25-4021;Librarians;0,978
25-4031;Library Technicians;0,180
25-9011;Audio-Visual and Multimedia Collections Specialists;0,272
25-9021;Farm and Home Management Advisors;0,784
25-9031;Instructional Coordinators;1,324
25-9041;Teacher Assistants;0,748
27-1011;Art Directors;0,727
27-1012;Craft Artists;-0,917
27-1013;Fine Artists, Including Painters, Sculptors, and Illustrators;-0,698
27-1014;Multimedia Artists and Animators;0,432
27-1021;Commercial and Industrial Designers;0,560
27-1022;Fashion Designers;0,508
27-1023;Floral Designers;-0,219
27-1024;Graphic Designers;0,527
27-1025;Interior Designers;0,822
27-1026;Merchandise Displayers and Window Trimmers;-0,735
27-1027;Set and Exhibit Designers;-0,160
27-2011;Actors;0,578
27-2012;Producers and Directors;0,860
27-2021;Athletes and Sports Competitors;-1,290
27-2022;Coaches and Scouts;0,319
27-2023;Umpires, Referees, and Other Sports Officials;-0,145
27-2031;Dancers;-1,793
27-2032;Choreographers;-0,886
27-2041;Music Directors and Composers;1,032
27-2042;Musicians and Singers;0,290
27-3011;Radio and Television Announcers;1,124
27-3012;Public Address System and Other Announcers;0,773
27-3021;Broadcast News Analysts;1,230
27-3022;Reporters and Correspondents;1,471
27-3031;Public Relations Specialists;1,518
27-3041;Editors;1,191
27-3042;Technical Writers;1,317
27-3043;Writers and Authors;1,170
27-3091;Interpreters and Translators;1,352
27-4011;Audio and Video Equipment Technicians;-0,120
27-4012;Broadcast Technicians;-0,111
27-4013;Radio Operators;0,941
27-4014;Sound Engineering Technicians;0,338
27-4021;Photographers;-0,382
27-4031;Camera Operators, Television, Video, and Motion Picture;-0,629
27-4032;Film and Video Editors;0,657
29-1011;Chiropractors;0,052
29-1021;Dentists, General;-0,348
29-1022;Oral and Maxillofacial Surgeons;-0,330
29-1023;Orthodontists;0,021
29-1024;Prosthodontists;-0,214
29-1031;Dietitians and Nutritionists;1,364
29-1041;Optometrists;0,200
29-1051;Pharmacists;0,571
29-1061;Anesthesiologists;0,212
29-1062;Family and General Practitioners;1,115
29-1063;Internists, General;1,001
29-1064;Obstetricians and Gynecologists;0,364
29-1065;Pediatricians, General;1,146
29-1066;Psychiatrists;1,366
29-1067;Surgeons;-0,145
29-1069;Physicians and Surgeons, All Other;0,619
29-1071;Physician Assistants;0,040
29-1081;Podiatrists;0,554
29-1122;Occupational Therapists;0,266
29-1123;Physical Therapists;-0,059
29-1124;Radiation Therapists;-0,316
29-1125;Recreational Therapists;0,401
29-1126;Respiratory Therapists;-0,199
29-1127;Speech-Language Pathologists;1,343
29-1128;Exercise Physiologists;0,307
29-1131;Veterinarians;-0,084
29-1141;Registered Nurses;0,272
29-1151;Nurse Anesthetists;0,134
29-1161;Nurse Midwives;0,305
29-1171;Nurse Practitioners;0,302
29-1181;Audiologists;0,696
29-1199;Health Diagnosing and Treating Practitioners, All Other;0,679
29-2011;Medical and Clinical Laboratory Technologists;-0,042
29-2012;Medical and Clinical Laboratory Technicians;-0,283
29-2021;Dental Hygienists;-0,352
29-2031;Cardiovascular Technologists and Technicians;-0,131
29-2032;Diagnostic Medical Sonographers;-0,274
29-2033;Nuclear Medicine Technologists;-0,023
29-2034;Radiologic Technologists;-0,405
29-2035;Magnetic Resonance Imaging Technologists;-0,137
29-2041;Emergency Medical Technicians and Paramedics;-0,699
29-2051;Dietetic Technicians;-0,128
29-2052;Pharmacy Technicians;-0,023
29-2053;Psychiatric Technicians;-0,001
29-2054;Respiratory Therapy Technicians;-0,088
29-2055;Surgical Technologists;-0,542
29-2056;Veterinary Technologists and Technicians;-0,282
29-2057;Ophthalmic Medical Technicians;0,083
29-2061;Licensed Practical and Licensed Vocational Nurses;-0,298
29-2071;Medical Records and Health Information Technicians;0,552
29-2081;Opticians, Dispensing;0,029
29-2091;Orthotists and Prosthetists;0,126
29-2092;Hearing Aid Specialists;0,458
29-2099;Health Technologists and Technicians, All Other;-0,281
29-9011;Occupational Health and Safety Specialists;0,598
29-9012;Occupational Health and Safety Technicians;0,329
29-9091;Athletic Trainers;-0,095
29-9092;Genetic Counselors;1,478
29-9099;Healthcare Practitioners and Technical Workers, All Other;0,279
31-1011;Home Health Aides;-0,405
31-1013;Psychiatric Aides;-0,275
31-1014;Nursing Assistants;-0,515
31-1015;Orderlies;-1,088
31-2011;Occupational Therapy Assistants;-0,075
31-2012;Occupational Therapy Aides;-0,357
31-2021;Physical Therapist Assistants;-0,247
31-2022;Physical Therapist Aides;-0,615
31-9011;Massage Therapists;-0,682
31-9091;Dental Assistants;-0,346
31-9092;Medical Assistants;0,236
31-9093;Medical Equipment Preparers;-0,776
31-9094;Medical Transcriptionists;1,196
31-9095;Pharmacy Aides;-0,028
31-9096;Veterinary Assistants and Laboratory Animal Caretakers;-0,590
31-9097;Phlebotomists;-0,253
31-9099;Healthcare Support Workers, All Other;0,252
33-1011;First-Line Supervisors of Correctional Officers;-0,361
33-1012;First-Line Supervisors of Police and Detectives;-0,196
33-1021;First-Line Supervisors of Fire Fighting and Prevention Workers;-0,636
33-2011;Firefighters;-1,287
33-2021;Fire Inspectors and Investigators;-0,152
33-2022;Forest Fire Inspectors and Prevention Specialists;-0,342
33-3011;Bailiffs;-0,171
33-3012;Correctional Officers and Jailers;-0,669
33-3021;Detectives and Criminal Investigators;0,151
33-3031;Fish and Game Wardens;-0,506
33-3041;Parking Enforcement Workers;-0,627
33-3051;Police and Sheriff's Patrol Officers;-0,640
33-3052;Transit and Railroad Police;-0,745
33-9011;Animal Control Workers;-0,390
33-9021;Private Detectives and Investigators;0,615
33-9031;Gaming Surveillance Officers and Gaming Investigators;0,433
33-9032;Security Guards;-0,423
33-9091;Crossing Guards;-0,397
33-9092;Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers;-0,316
33-9093;Transportation Security Screeners;-0,523
33-9099;Protective Service Workers, All Other;-0,017
35-1011;Chefs and Head Cooks;-0,172
35-1012;First-Line Supervisors of Food Preparation and Serving Workers;-0,150
35-2011;Cooks, Fast Food;-0,391
35-2012;Cooks, Institution and Cafeteria;-0,559
35-2013;Cooks, Private Household;-0,639
35-2014;Cooks, Restaurant;-0,759
35-2015;Cooks, Short Order;-0,567
35-2021;Food Preparation Workers;-0,934
35-3011;Bartenders;-0,411
35-3021;Combined Food Preparation and Serving Workers, Including Fast Food;-0,308
35-3022;Counter Attendants, Cafeteria, Food Concession, and Coffee Shop;-0,321
35-3031;Waiters and Waitresses;-0,469
35-3041;Food Servers, Nonrestaurant;-0,445
35-9011;Dining Room and Cafeteria Attendants and Bartender Helpers;-1,433
35-9021;Dishwashers;-1,561
35-9031;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop;0,182
37-1011;First-Line Supervisors of Housekeeping and Janitorial Workers;-0,367
37-1012;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers;-0,486
37-2011;Janitors and Cleaners, Except Maids and Housekeeping Cleaners;-1,093
37-2012;Maids and Housekeeping Cleaners;-1,031
37-2021;Pest Control Workers;-0,724
37-3011;Landscaping and Groundskeeping Workers;-1,656
37-3012;Pesticide Handlers, Sprayers, and Applicators, Vegetation;-0,934
37-3013;Tree Trimmers and Pruners;-1,581
39-1011;Gaming Supervisors;1,015
39-1012;Slot Supervisors;0,027
39-1021;First-Line Supervisors of Personal Service Workers;0,628
39-2011;Animal Trainers;-0,729
39-2021;Nonfarm Animal Caretakers;-0,528
39-3011;Gaming Dealers;0,030
39-3012;Gaming and Sports Book Writers and Runners;0,365
39-3021;Motion Picture Projectionists;-0,649
39-3031;Ushers, Lobby Attendants, and Ticket Takers;-0,111
39-3091;Amusement and Recreation Attendants;-0,229
39-3092;Costume Attendants;-0,296
39-3093;Locker Room, Coatroom, and Dressing Room Attendants;0,279
39-4011;Embalmers;-0,657
39-4021;Funeral Attendants;-0,158
39-4031;Morticians, Undertakers, and Funeral Directors;-0,114
39-5011;Barbers;-0,543
39-5012;Hairdressers, Hairstylists, and Cosmetologists;-0,616
39-5091;Makeup Artists, Theatrical and Performance;-0,497
39-5092;Manicurists and Pedicurists;-0,079
39-5093;Shampooers;-0,501
39-5094;Skincare Specialists;-0,037
39-6011;Baggage Porters and Bellhops;-0,914
39-6012;Concierges;1,071
39-7011;Tour Guides and Escorts;0,736
39-7012;Travel Guides;0,553
39-9011;Childcare Workers;-0,167
39-9021;Personal Care Aides;-0,206
39-9031;Fitness Trainers and Aerobics Instructors;-1,257
39-9032;Recreation Workers;0,097
39-9041;Residential Advisors;0,711
41-1011;First-Line Supervisors of Retail Sales Workers;0,201
41-1012;First-Line Supervisors of Non-Retail Sales Workers;1,259
41-2011;Cashiers;-0,107
41-2012;Gaming Change Persons and Booth Cashiers;-0,104
41-2021;Counter and Rental Clerks;0,143
41-2022;Parts Salespersons;-0,014
41-2031;Retail Salespersons;0,357
41-3011;Advertising Sales Agents;1,122
41-3021;Insurance Sales Agents;1,427
41-3031;Securities, Commodities, and Financial Services Sales Agents;1,260
41-3041;Travel Agents;1,278
41-3099;Sales Representatives, Services, All Other;1,242
41-4011;Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products;0,953
41-4012;Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products;1,039
41-9011;Demonstrators and Product Promoters;0,334
41-9012;Models;-0,503
41-9021;Real Estate Brokers;1,348
41-9022;Real Estate Sales Agents;0,701
41-9031;Sales Engineers;1,026
41-9041;Telemarketers;1,926
41-9091;Door-To-Door Sales Workers, News and Street Vendors, and Related Workers;1,511
43-1011;First-Line Supervisors of Office and Administrative Support Workers;1,134
43-2011;Switchboard Operators, Including Answering Service;1,244
43-2021;Telephone Operators;1,412
43-3011;Bill and Account Collectors;1,270
43-3021;Billing and Posting Clerks;1,136
43-3031;Bookkeeping, Accounting, and Auditing Clerks;0,818
43-3041;Gaming Cage Workers;0,496
43-3051;Payroll and Timekeeping Clerks;1,155
43-3061;Procurement Clerks;1,590
43-3071;Tellers;0,431
43-4011;Brokerage Clerks;1,026
43-4021;Correspondence Clerks;1,184
43-4031;Court, Municipal, and License Clerks;1,336
43-4041;Credit Authorizers, Checkers, and Clerks;1,546
43-4051;Customer Service Representatives;1,076
43-4061;Eligibility Interviewers, Government Programs;1,417
43-4071;File Clerks;0,240
43-4081;Hotel, Motel, and Resort Desk Clerks;0,711
43-4111;Interviewers, Except Eligibility and Loan;1,449
43-4121;Library Assistants, Clerical;0,276
43-4131;Loan Interviewers and Clerks;1,274
43-4141;New Accounts Clerks;1,201
43-4151;Order Clerks;0,761
43-4161;Human Resources Assistants, Except Payroll and Timekeeping;1,481
43-4171;Receptionists and Information Clerks;1,033
43-4181;Reservation and Transportation Ticket Agents and Travel Clerks;0,423
43-5011;Cargo and Freight Agents;1,255
43-5021;Couriers and Messengers;-0,922
43-5031;Police, Fire, and Ambulance Dispatchers;0,774
43-5032;Dispatchers, Except Police, Fire, and Ambulance;1,128
43-5041;Meter Readers, Utilities;-1,027
43-5051;Postal Service Clerks;-0,284
43-5052;Postal Service Mail Carriers;-0,967
43-5053;Postal Service Mail Sorters, Processors, and Processing Machine Operators;-1,007
43-5061;Production, Planning, and Expediting Clerks;0,661
43-5071;Shipping, Receiving, and Traffic Clerks;-0,738
43-5081;Stock Clerks and Order Fillers;-0,523
43-5111;Weighers, Measurers, Checkers, and Samplers, Recordkeeping;-0,353
43-6011;Executive Secretaries and Executive Administrative Assistants;1,106
43-6012;Legal Secretaries;1,149
43-6013;Medical Secretaries;1,298
43-6014;Secretaries and Administrative Assistants, Except Legal, Medical, and Executive;1,254
43-9011;Computer Operators;0,408
43-9021;Data Entry Keyers;0,172
43-9022;Word Processors and Typists;0,507
43-9031;Desktop Publishers;-0,065
43-9041;Insurance Claims and Policy Processing Clerks;1,257
43-9051;Mail Clerks and Mail Machine Operators, Except Postal Service;-0,711
43-9061;Office Clerks, General;0,911
43-9071;Office Machine Operators, Except Computer;-0,577
43-9081;Proofreaders and Copy Markers;1,436
43-9111;Statistical Assistants;1,053
45-1011;First-Line Supervisors of Farming, Fishing, and Forestry Workers;-0,558
45-2011;Agricultural Inspectors;-0,008
45-2021;Animal Breeders;-0,941
45-2041;Graders and Sorters, Agricultural Products;-1,032
45-2091;Agricultural Equipment Operators;-1,240
45-2092;Farmworkers and Laborers, Crop, Nursery, and Greenhouse;-1,432
45-2093;Farmworkers, Farm, Ranch, and Aquacultural Animals;-1,089
45-3011;Fishers and Related Fishing Workers;-1,511
45-3021;Hunters and Trappers;-1,374
45-4011;Forest and Conservation Workers;-1,000
45-4021;Fallers;-1,791
45-4022;Logging Equipment Operators;-1,355
45-4023;Log Graders and Scalers;-0,703
47-1011;First-Line Supervisors of Construction Trades and Extraction Workers;-0,360
47-2011;Boilermakers;-1,122
47-2021;Brickmasons and Blockmasons;-1,607
47-2022;Stonemasons;-1,483
47-2031;Carpenters;-1,245
47-2041;Carpet Installers;-1,414
47-2042;Floor Layers, Except Carpet, Wood, and Hard Tiles;-1,049
47-2043;Floor Sanders and Finishers;-1,574
47-2044;Tile and Marble Setters;-1,196
47-2051;Cement Masons and Concrete Finishers;-1,678
47-2053;Terrazzo Workers and Finishers;-1,685
47-2061;Construction Laborers;-1,405
47-2071;Paving, Surfacing, and Tamping Equipment Operators;-1,303
47-2072;Pile-Driver Operators;-1,455
47-2073;Operating Engineers and Other Construction Equipment Operators;-1,174
47-2081;Drywall and Ceiling Tile Installers;-1,496
47-2082;Tapers;-1,345
47-2111;Electricians;-0,916
47-2121;Glaziers;-1,267
47-2131;Insulation Workers, Floor, Ceiling, and Wall;-1,510
47-2132;Insulation Workers, Mechanical;-1,080
47-2141;Painters, Construction and Maintenance;-1,381
47-2142;Paperhangers;-1,566
47-2151;Pipelayers;-1,181
47-2152;Plumbers, Pipefitters, and Steamfitters;-1,120
47-2161;Plasterers and Stucco Masons;-1,578
47-2171;Reinforcing Iron and Rebar Workers;-1,781
47-2181;Roofers;-1,553
47-2211;Sheet Metal Workers;-1,245
47-2221;Structural Iron and Steel Workers;-1,701
47-2231;Solar Photovoltaic Installers;-1,037
47-3011;Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters;-1,822
47-3012;Helpers--Carpenters;-1,370
47-3013;Helpers--Electricians;-1,445
47-3014;Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons;-1,711
47-3015;Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters;-1,462
47-3016;Helpers--Roofers;-1,668
47-4011;Construction and Building Inspectors;0,068
47-4021;Elevator Installers and Repairers;-0,928
47-4031;Fence Erectors;-1,675
47-4041;Hazardous Materials Removal Workers;-0,744
47-4051;Highway Maintenance Workers;-1,282
47-4061;Rail-Track Laying and Maintenance Equipment Operators;-1,497
47-4071;Septic Tank Servicers and Sewer Pipe Cleaners;-1,260
47-4091;Segmental Pavers;-0,949
47-4099;Construction and Related Workers, All Other;-0,871
47-5011;Derrick Operators, Oil and Gas;-1,391
47-5012;Rotary Drill Operators, Oil and Gas;-0,880
47-5013;Service Unit Operators, Oil, Gas, and Mining;-1,068
47-5021;Earth Drillers, Except Oil and Gas;-0,999
47-5031;Explosives Workers, Ordnance Handling Experts, and Blasters;-0,955
47-5041;Continuous Mining Machine Operators;-1,355
47-5042;Mine Cutting and Channeling Machine Operators;-1,283
47-5051;Rock Splitters, Quarry;-1,614
47-5061;Roof Bolters, Mining;-1,593
47-5071;Roustabouts, Oil and Gas;-1,500
47-5081;Helpers--Extraction Workers;-1,572
49-1011;First-Line Supervisors of Mechanics, Installers, and Repairers;-0,114
49-2011;Computer, Automated Teller, and Office Machine Repairers;-0,454
49-2021;Radio, Cellular, and Tower Equipment Installers and Repairers;-0,743
49-2022;Telecommunications Equipment Installers and Repairers, Except Line Installers;-0,939
49-2091;Avionics Technicians;-0,264
49-2092;Electric Motor, Power Tool, and Related Repairers;-0,980
49-2093;Electrical and Electronics Installers and Repairers, Transportation Equipment;-0,910
49-2094;Electrical and Electronics Repairers, Commercial and Industrial Equipment;-0,703
49-2095;Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;-0,672
49-2096;Electronic Equipment Installers and Repairers, Motor Vehicles;-0,870
49-2097;Electronic Home Entertainment Equipment Installers and Repairers;-0,730
49-2098;Security and Fire Alarm Systems Installers;-0,685
49-3011;Aircraft Mechanics and Service Technicians;-0,814
49-3021;Automotive Body and Related Repairers;-1,199
49-3022;Automotive Glass Installers and Repairers;-1,235
49-3023;Automotive Service Technicians and Mechanics;-1,031
49-3031;Bus and Truck Mechanics and Diesel Engine Specialists;-1,058
49-3041;Farm Equipment Mechanics and Service Technicians;-1,239
49-3042;Mobile Heavy Equipment Mechanics, Except Engines;-1,259
49-3043;Rail Car Repairers;-1,485
49-3051;Motorboat Mechanics and Service Technicians;-0,938
49-3052;Motorcycle Mechanics;-0,666
49-3053;Outdoor Power Equipment and Other Small Engine Mechanics;-0,961
49-3091;Bicycle Repairers;-0,823
49-3092;Recreational Vehicle Service Technicians;-0,869
49-3093;Tire Repairers and Changers;-1,423
49-9011;Mechanical Door Repairers;-1,282
49-9012;Control and Valve Installers and Repairers, Except Mechanical Door;-0,781
49-9021;Heating, Air Conditioning, and Refrigeration Mechanics and Installers;-0,896
49-9031;Home Appliance Repairers;-0,928
